label,text
0,Iberia Discussion

0,Traffic light texture in the Baltics

0,Is map exploration to 100% no longer possible after this update? I am capped at 99.92%

0,Very Happy with customization of PC controls

0,Improper combination of fast damage system

0,What is the worst delivery interruption you've had? And did it get finished in time?

0,Older versions

0,DEMO version of ETS2/ATS from Steam

0,ETS2 fanmade concept map (WIP) (November 2021 update)

0,VR GUIDE

0,On the topic of SCS fixing up older truck models

0,SCS MAN TGX (New)

0,Convoy questions

0,Approximate release date of West Balkans

0,Feldbinder DLC

0,FPS issues

0,Hi-End Configuration Optimization

0,Unexplained Collisions and Vehicle Damage in Euro Truck Simulator 2 Multiplayer

0,New Dedicated Server-ETS2

0,ETS2/ATS Telemetry Web Server + Mobile Dashboard

0,Poll: Which area should SCS add to ETS2 next?

0,g simple patch physics

0,This is how paid mods ruins the game....

0,Top garages with private entrance

0,New DAF arrived on Euro Truck Simulator 2

0,Question

0,I loathe Italy (in ets2)

0,A way to see which mod is optional for convoy in the Mod Menu?

0,River and region signs in ETS2 + Maps showcasing the ingame situation

0,ETS2 1.46 Discussion Thread

0,Lost Progress ?!?!?

0,Reporting models to game.log

0,Force Feedback on Fanatec Podium DD2

0,Modification of the material files from 1.46 to 1.47/1.48/1.49

0,Volvo FH 2009 rework by SCS?

0,ETS2 1.43 discussion thread

0,Easter Egg Thread (updated 29 jan 2021)

0,Job logger for linux

0,ETS2 1.47 Speculation thread

0,AI drivers after toll plazas

0,About other players trucks license plate in Convoy Mode

0,Retouching France

0,Thought I finally had a grasp on driving relatively safe.

0,England rebuild

0,New brand Wielton trailers are coming

0,Hands on steering wheel and sad vector of development

0,United Kingdom

0,TrackIR profiles for ETS2

0,Traffic lights in ETS2

0,PC build

0,Poll: Which type of trailer should SCS include for Trailer Ownership next?

0,Madkine's 2022 Xmas DLC giveaway

0,Dedicated Server mod how to install ?

0,Euro Truck Simulator 3 concept map

0,KEY TO GIVE AWAY

0,Still about traffic

0,Dedicated Server - Keep Mods separate in the Server's folder

0,Euro Truck Simulator 2: OFFICIAL 2022 Calendar ??

0,Vive la France Discussion

0,Your longest ETS2 delivery

0,Realistic FFB settings

0,Expensive Garage Gas Pump Images

0,"SCS, can you stop this?"

0,Dashboard options for multi-monitor

0,Poll: Which new roads would you like to see added to ETS2 in the future?

0,ETS2 1.45 Discussion

0,Are trailers interesting for drivers?

0,New graphical improvements soon?

0,Lighting in tunnels in 1.40

0,European Truck Simulation 2 2023 Forecast

0,Hide Blockers: Visual or fully removes?

0,World record

0,What is your average fuel consumption?

0,World of truck account

0,What would happen if I downgrade?

0,10th anniversary of ETS2

0,VR: GPS in Center of screen

0,Pathfinder and GPS achievements question

0,FFB - So great now :-) Thank you SCS

0,ETS2 1.46 Speculation Thread

0,Which of your trucks has more km?

0,ETS2 1.44 Discussion

0,City intros feedback

0,10 years difference

0,[ETS2/AT] What to do when you're ok already?

0,What does g_income_factor do

0,Hidden roads

0,graphics engine

0,truck wheels

0,Austria Rework Discussion

0,Possible new cities in the base game + going east DCL?

0,When Will SCS Stop Punishing Legacy Users?

0,Unfair prices

0,Guessing the possible Aegean DLC content

0,Axle lift failed. why?

0,convois scs option

0,What about the technical side?

0,Renault Trucks T Tuning Pack Discussion

0,Full A0 printable high-resolution map for ETS2

0,Your daily 'Fix Dat Engine Sound' topic

0,Whats the real oldest version of ETS2 ?

0,Anyone playing ETS2/ATS with the Varjo Aero?

0,Why we can't upload maps to steam workshop?

0,Dynamic shadows distance

0,[FORUM GAME] Where is this?

0,Annoying gear change sound since 1.44.x

0,About the mileage signs in ETS2 1.44 Open Beta

0,Where's Euro Truck Simulator 3?

0,Convoys | More than 8 players

0,LONG TIME ATS PLAYER / NEW TO ETS / PLEASE HELP!

0,100% discovered map achievement

0,drawbar trailers

0,g_veg_detail can be set higher

0,When will it be fixed ?

0,printscreen of the background

0,Participate in Open Beta's

0,Classic road racing courses

0,SCS language translation errors in-game

0,Multiple Installation

0,ETS2 1.45 Speculation Thread

0,Is it possible to merge ETS2 and ATS into one game?

0,DAF Tuning pack compatibility

0,Austria!

0,are the axles configurations realistic in ETS2?

0,Tree texture oddness

0,Now it works again

0,Guessing the Western Balkans DLC content

0,Do you think Greece will be included in the Western Balkans DLC?

0,Do you think the Swiss renovation will come in this year's version?

0,Process of licensing a new truck in ETS2

0,Do you think Ets2 and ATS now have the picture level of gta5 in 2013?

0,PBR materials. When?

0,Quality of Recent SCS Paintjobs

0,Where's the scania logo giong on?

0,EU Tyre Labelling Regulation

0,"Underpowered engines, fuel flow measurements etc....."

0,Telemetry Dashboard Skins

0,Frustration at road/map design

0,When will ETS2 become a proper Simulator?

0,Should SCS remake German cities?

0,GPS UI

0,How to Use Macro Keys as new Button For ETS2/ATS?

0,Best And Worst entrance to a city in ETS2

0,Trucks wheel hubs

0,Is it possible to use this game to learn how to drive with car mods?

0,How to drive Semi Lowloader with Drop Deck (Transformer)?

0,ETS2 1.44 speculation thread

0,Wrong development direction of SCS Software

0,Rear Fenders/Fifth Wheel Problem

0,Getting an upgrade... Tobii vs VR

0,SCS Games for Windows on ARM

0,Background map projection

0,How do you use AUTOHOTKEY with this game?

0,My Statement and Proposal (UK Reskin like DLC)

0,Alternatives to Discord for meeting/organizing convoys

0,Other truck in my otherwise empty garage

0,scs worshop uploader

0,Purchasing ETS

0,Most Needless cities in ETS2/much needed cities

0,Poll:  What would you like to see after all of Europe is mapped?

0,[GUIDE] How to restore your in-progress delivery job after an update

0,"SCS Software, the community is with you!"

0,Ray Tracing

0,Feedback on the lighting system

0,Iveco Stralis Hi-Road

0,Arduino Mega reading game values

0,Interior Field of View (FOV): 40-50�� - Challenge or Realism?

0,ETS2 Promo Trailer 2018 remake

0,Convoy server lists are different for everyone?

0,DAF 2021

0,Krone Trailer Pack DLC Discussion

0,Beyond the Baltic Sea discussion thread

0,Rigid Trucks

0,Do you think we can see the 1.44 public beta of Ets2 and ATS in the Chinese new year?

0,Is there a reason why the pause menu behaviour has changed?

0,Use face tracking ability for adding more depth to the game

0,Portuguese roads a shame

0,Poll: Which ETS 2 trailer pack should be added next

0,Do you think Ets2 will contain a small part of Kazakhstan?

0,ETS2 1.42 discussion thread

0,specs for multimon triple monitor config

0,Garage in new Lyon - this is serious?

0,Doing perfect deliveries possible?

0,Updates Fix Log

0,Need more vr old versions or can use vr in any version

0,Michelin X line Z and X Multi Energy Z on drive axle

0,no more teasing from carthoo?

0,Truck Sound

0,Whats faster: CSC or ZIP?

0,Huge thanks for fixing an outstanding bug in the mod loader

0,Question about base.scs compression

0,Favorite map expansion(s)

0,AI trouble (serious fix needed)

0,John Deere Machine dlc

0,What do you think we will see by 2031?

0,How would you feel if SCS added some kind of scripting language support for mods - discussion

0,Ets2 Gearbox Pattern problem

0,Double trailers across Europe

0,Kierownice ets2

0,ETS2 1.42.1.7S patch notes where?

0,VR:  goto (coords) broken?

0,At what speed limit do you drive? Why?

0,linked server

0,ETS2 1.43 speculation thread

0,Rigid trucks DLC

0,Tobii Eye Tracker 4C Review/Integration Question

0,"Minimum engine volume is 6L, why?"

0,there are any place that i can find the pictures of the loading screen?

0,DLC's for ETS2 1.39

0,did the olds Renault and DAF were removed from the AI traffic?

0,Building new setup and have some questions

0,New FFB Discussion (1.42 and onwards)

0,Steam sale until November 1st

0,all versions of ets2 1.39

0,When do you service your truck

0,Rigid trucks

0,Reskin/Reworked or DLC

0,Volvo Machines DLC

0,Physics in v1.35

0,DLC contents are different between Steam store page and in-game content. False advertisement?

0,Do 4x4 chassis have a place in game?

0,Cross-board weight limit and double trailers

0,How SCS gathers road information?

0,[Easter egg] Oscar hirable as driver!

0,Removal of truck mods from either ETS2 or ATS from the opposite game ?

0,Is the Satnav reliable? (Route advisor?)

0,ETS2 1.41 discussion

0,Special Transport DLC

0,ETS2 1.42 speculation thread

0,The Incidents' Thread

0,Renault  T update revealed through ETS2

0,Iberia DLC looks great but i'm really disappointed - sadly.

0,ETS2 1.40 discussion

0,Dear SCS... about those sounds...

0,Shaky view of wires and fences

0,Graphics  ETS 2

0,TIME TO SAY GOODBYE

0,New Daf Fuel Guage

0,level when you hit max drivers

0,ETS2 Map in Google Maps

0,Narrow roads modable?

0,My frustration with ETS2/SCS

0,Mirrors

0,Chassis Preference.

0,Any plans for a function to reload mods ingame?

0,Steam

0,where is the help file gone ??

0,New DLC

0,Is there a way to hack players available to play on your server?

0,Profile manager from within the game.

0,Will ETS2 be supported on Steam Deck?

0,"Can I setup profile with no mods for Convoy, WITHOUT effecting my SP modded profile?"

0,Flashing-in

0,Do you think Austrian reset can be completed in two versions

0,Poll: Which area should SCS rebuild after Germany?

0,Quick Travel feature

0,F9 Key reassigned for Convoy Chat

0,Employed drivers develop habits?

0,Turkish and Bulgarian customs. Black Sea DLC

0,Just curious... why are SCS games so incredibly small?

0,ETS2 Windows Support

0,Impossible jobs?

0,Did you enable DLC uploads?

0,Player limit for multiplayer (update 1.41) - will it increase?

0,What does this actually mean?

0,Which game is your favorite ETS2 or ATS?

0,PBR materials. when?

0,Megatruck

0,Scaling & Performance Question

0,In game Steering? SCS Developers Please Read?

0,[ETS2/ATS Gameplay] Post your seat adjustment settings

0,Boxed version of Iberia

0,[IBERIA DLC] Easter egg or just my imagination ?

0,EU Truck Driver Hours of Service Regulations

0,Gaming the economy...

0,Steering wheel

0,You guys are amazing

0,New Volvo DLC?

0,Understanding and choosing tires

0,"Low beams & High beams, are they enough?"

0,Steering wheels?

0,The DLC after Russia is likely to be the one heading for Greece

0,SCS mp

0,Euro Bus Simulator DLC when?

0,Validate image as an ETS2 screenshot

0,Realistic Axle Config

0,Question about the graphic updates

0,Michelin and Good Year DLC

0,Multiple trailer body types?

0,UK Redesign

0,ETS 2 Telemetry Reader

0,ETS2 1.41 Speculation Thread

0,New Tires packs ETS 2

0,Renault Evolution Convoy

0,Does more RAM improve game

0,Will my PC be able to run upcoming version 1.40?

0,What counts a mod stolen?

0,The Fuel Shortages have Begun!

0,ETS2 convoy 1.41 beta

0,"Help, Please."

0,Regarding bug reporting: are trucky and trucksbook a mod?

0,SSAO Discussion

0,Please choose your favorite tuning pack

0,The Next DLC Trailers

0,What's the story about this trailer?

0,Stop Game Changes That arent major from cancelling my run

0,Will new lighting be fixed in 1.41 ?

0,POLL: How should the UK be rebuilt in your opinion.

0,My wife's GIFT to SCS

0,Base cargo values list

0,TrackIR vs Tobii

0,Arduino Dashboard

0,Antiseptic world ?

0,AI

0,Chassis and Gearbox Upgrades

0,Best overall truck in game (engine/transmition configuration for best power/fuel consumption)

0,missing best community paint

0,Is there a way to generate a specific delivery?

0,Running ETS2 / ATS on 34�g ultrawide 144hz

0,real requirements 1.39

